schema_version,evaluation_id,checkpoint_sha256,scenario,algorithm,step,env_version,observation_schema_version,action_schema_version,learning_rate,goal_rate_pct,mean_reward,std_reward,shots_per_ep,non_scoring_episode_rate_pct,turnovers_conceded_per_ep,episodes,deterministic,checkpoint_path,provenance,env_hash
3.2.0,7fb7254b9b16ae5f,e97de5ec59bbfb44983841defbba97a6dca37f85ecf99880f003791f8bdc6d66,academy_3_vs_1_with_keeper,MAPPO,25088,3.1.0,simple115_v3_role,discrete19_v1,0.000298326,2.00,0.0633,0.2103,0.00,98.00,0.22,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T22:56:11.475409|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,628eba5b0378f095,713913c5146034804d9be66d920b40ffbe63c01cafdad4dc19e236b0b50e17b7,academy_3_vs_1_with_keeper,MAPPO,50176,3.1.0,simple115_v3_role,discrete19_v1,0.000293346,0.00,0.0205,0.0603,0.00,100.00,0.28,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T22:58:07.422231|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,bd7523c21e1ba2ac,a6ae6651d8e8367adcbe2965420c76350913cb023d24cd7364b4ccdb8603cbaf,academy_3_vs_1_with_keeper,MAPPO,50176,3.1.0,simple115_v3_role,discrete19_v1,0.000293346,0.00,0.0316,0.0754,0.00,100.00,0.27,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_50176.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T22:58:12.676452|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,e50cd587a7aabeea,baa58f9ed85ed34088799af7307592e04cab832db4bb7bf6ac2dee8acf47877d,academy_3_vs_1_with_keeper,MAPPO,75264,3.1.0,simple115_v3_role,discrete19_v1,0.000285182,4.00,0.1964,0.3075,1.38,96.00,0.38,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:01:10.827677|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,d1cb76070935f2a9,b35427b148111914fd83299c3ae677162b61b2db509f9dc29dc8dc025a3765eb,academy_3_vs_1_with_keeper,MAPPO,100352,3.1.0,simple115_v3_role,discrete19_v1,0.000274038,0.00,0.2453,0.1766,2.66,100.00,0.66,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:04:20.549725|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,47022a3ce0de1840,cfa4ca56d0e233983c33acec1371ff11071a609443288ae13eca5c6533c59acc,academy_3_vs_1_with_keeper,MAPPO,100352,3.1.0,simple115_v3_role,discrete19_v1,0.000274038,0.00,0.2363,0.1803,2.43,100.00,0.63,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_100352.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:04:23.740351|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,207fd783b5581a05,c9474d6a1541afc245ed1fdcbf7e05658e41ed6660f1a5ce208621ef0f1814cb,academy_3_vs_1_with_keeper,MAPPO,125440,3.1.0,simple115_v3_role,discrete19_v1,0.00026019,0.00,0.1742,0.1982,4.92,100.00,0.44,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:07:55.007410|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,a5804eac833ef6e2,b38855ba8b075d7aaf7d88363c45fdbe188a036e1bb9a9733215e3fd44efacae,academy_3_vs_1_with_keeper,MAPPO,150528,3.1.0,simple115_v3_role,discrete19_v1,0.000243982,0.00,0.2728,0.1710,22.14,100.00,0.72,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:10:23.607246|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,a344b4850e2cbea0,a0b85c70df27aacc8debcd228a6e5e61d767f3a7e07875ffaf0ca8b6f8e81904,academy_3_vs_1_with_keeper,MAPPO,150528,3.1.0,simple115_v3_role,discrete19_v1,0.000243982,0.00,0.2680,0.1761,23.93,100.00,0.70,30,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_150528.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:10:25.090736|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,f7c003e95172278d,3beade8571c454b691aae0efd74f68772165da228c1acf2515eb90b03790bc99,academy_3_vs_1_with_keeper,MAPPO,175616,3.1.0,simple115_v3_role,discrete19_v1,0.000225814,0.00,0.2535,0.1826,25.72,100.00,0.66,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:12:52.801516|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
3.2.0,3137016b0de9719c,a2ce4813166307499e19df5b5176beaeeb74e87c8be8754345f7eaee70d67773,academy_3_vs_1_with_keeper,MAPPO,200704,3.1.0,simple115_v3_role,discrete19_v1,0.000206139,0.00,0.2472,0.1826,8.68,100.00,0.66,50,True,C:\Users\USER\Documents\Project\GMN-Football-3-main\training\models\mappo_academy_3_vs_1_with_keeper_seed42_shaped_temp.pt,host=DESKTOP-JFT7577|user=USER|date=2026-09-07T23:15:02.604546|cmd=training/train_mappo_shaped.py --scenario academy_3_vs_1_with_keeper --seed 42 --total-steps 500000 --enable-reward-shaping --log-dir training/runs/mappo_shaped_seed42,34187f24abd7
